Nombre,Ingredientes,Pasos,Duracion,Categoria
pasta frola de ricota,"['1 huevo', '200 gramos de harina 0000', '80 gramos de manteca', '1 cucharada postre de esencia de vainilla', '60 gramos de azúcar', 'ralladura de limón', '½ cucharada postre de polvo para hornear', '300 gramos de ricota', '1 huevo', '1 cucharada postre de esencia de vainilla', 'ralladura de limón', '40 gramos de azúcar']","['1 En un recipiente mezcla el huevo a temperatura ambiente junto con la manteca pomada, el azúcar, la esencia de vainilla y la ralladura de limón.', '2 A continuación, añade la harina junto con el polvo para hornear, tamizándolos con un colador fino o tamiz.', '3 Integra sin amasar hasta obtener una masa lisa.', '4 Estira la masa entre dos separadores o papel film y llévala a la heladera sobre una superficie plana, como una asadera o una tabla, por unos 15 a 20 minutos.', '5 Pasado ese tiempo, retira la masa y cubre con ella el molde donde deseas preparar tu pastafrola de ricota, previamente engrasado. En este caso, es un molde de 20 centímetros de diámetro. No te preocupes si la masa se rompe mientras intentas forrar el molde, por eso lleva el nombre de quebrada. Con ayuda de tus yemas y con paciencia, arregla cada agujerito. Reserva la masa restante para hacer el enrejado.', '6 Mezcla la ricota con el azúcar, la esencia de vainilla y la ralladura de limón. Prueba el relleno y, si te gustó, añade el huevo.', '7 Rellena con la ricota la base que habías preparado anteriormente.', '8 Con la masa que ha sobrado, corta tiras y haz el enrejado de tu pastafrola de ricota. Puedes, también, cortar formas para decorar, como las flores que has visto en esta receta. De ser necesario, vuelve a unir, estirar y enfriar.', '9 Cuando tengas la pasta frola de ricota lista, cocínala en el horno precalentado a 180 ºC por unos 30 minutos, o hasta que esté ligeramente dorada. Al retirarla, disponla sobre una rejilla para que se enfríe.', '10 Una vez fría, desmolda y decora con azúcar impalpable la torta de ricota clásica. ¡A disfrutar! ¿Qué te pareció esta receta? Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",45m,"['Recomendada para vegetarianos', 'Recetas al horno', 'Recetas argentinas']"
mini rogelitos,"['150 gramos de harina 0000', '1 pizca de sal', '50 centímetros cúbicos de agua', '1 yema de huevo', '25 centímetros cúbicos de manteca', '1 cucharada postre de alcohol etílico', '250 gramos de dulce de leche repostero', 'Para el merengue italiano:', '1 clara de huevo', '60 gramos de azúcar', '20 centímetros cúbicos de agua']","['1 Prepara la masa. Para ello, mezcla la harina con la pizca de sal y llévala a una mesada limpia, haciendo un hueco en el centro. En él, dispón la yema de huevo, el agua, la manteca derretida y el alcohol etílico.', '2 Tapa la masa y déjala reposar por unos 20 minutos. Pasado ese tiempo, estírala de aproximadamente medio centímetro de alto entre dos separadores o papel fil para que no se pegue al palote ni a la mesada.', '3 Corta las masas de tus mini rogelitos con un cortante redondo de unos 5 centímetros de diámetro. Disponlas en una asadera enharinada y pínchalas con un tenedor. Truco: vuelve a unir los restos de masa para estirarla y cortarla, usándola por completo. Aproximadamente saldrán unas 32 masas.', '4 Cocínalas en el horno precalentado a 180 ºC por unos 10 minutos hasta que estén ligeramente doradas. Resérvalas hasta que enfríen.', '5 Unta cuidadosamente cada masa con el dulce de leche y superponlas, reservando la última sin untar con dulce. Reserva tus mini rogelitos.', '6 Procede a armar el merengue. Para ello, dispón el azúcar en una olla chica y agrega cuidadosamente el agua, hasta apenas cubrirla. Caliéntala hasta alcanzar los 118 ºC. Te darás cuenta porque hace unas burbujas sobre toda la superficie y ya no puedes reconocer los cristales de azúcar en el fondo. Mientras, bate la clara.', '7 Vuelca el almíbar sobre la clara mientras continúas batiendo haciendo efecto hilo. Continúa con el batido hasta que el merengue se sostenga del recipiente.', '8 Decora los mini rogelitos con el merengue y listos para comer. Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",45m,"['Recomendada para vegetarianos', 'Recetas al horno']"
tarta dulce de leche y chocolate,"['1 huevo', '300 gramos de harina leudante', '150 gramos de manteca', '60 gramos de azúcar', '100 gramos de chocolate semiamargo', '50 centímetros cúbicos de crema de leche', '400 gramos de dulce de leche repostero']","['1 Primero crema la manteca con el azúcar. Para ello, deberás disponer de la manteca blanda, a temperatura ambiente y mezclar con un batidor de mano hasta no sentir los cristales de azúcar.', '2 A continuación, añade y emulsiona el huevo a temperatura ambiente. Esto es importante pues sino, al integrarlo, le dará a tu preparación la impresión de cortarse. Si esto sucede, no te preocupes, puedes batirla a baño maría o calentarla unos segundos en el microondas. Truco: si lo deseas, puedes agregar otros sabores a tu masa como esencia de vainilla o coco, ralladura de naranja y/o limón.', '3 Una vez lista esta primera parte de la preparación de la masa de tu tarta de chocolate y dulce de leche, añade la harina integral, tamizándola para evitar grumos. Truco: si no tienes harina leudante, mezcla 1 cucharada de polvo de hornear y un cuarto cucharadita de bicarbonato de sodio con 300 gramos de harina 0000.', '4 Integra sin amasar o tu masa quedará dura. Llévala a la mesada cubierta con film y tápala antes de estirarla con un palote. Enfríala por 30 minutos en la heladera sobre una asadera o tabla.', '5 Retira la masa de la heladera y cubre con ella el molde donde cocinarás la torta de chocolate y dulce de leche. En este caso, es uno desmoldable de 20 centímetros de diámetro que deberás enmantecar previamente. Pínchala con un tenedor y cocínala en el horno precalentado a 160 ºC por unos 15 minutos hasta que esté ligeramente dorada. Truco: si la masa se rompe mientras cubres el molde, no te preocupes, con cuidado y el calor de tus manos será muy sencillo armarla nuevamente hasta asegurarte que no queden aberturas ni espacio sin cubrir.', '6 Retira la masa del horno y aguarda hasta que se enfríe para desmoldarla. Luego, rellénala con dulce de leche. Puedes condimentarlo con un poco de ron, ralladura de limón y/o naranja.', '7 Por otro lado, calienta la crema de leche en el microondas, dentro de un recipiente apto, o en una olla. Agrega el chocolate picado y resérvalo unos segundos antes de revolver y formar tu ganache.', '8 Cuando tengas la ganache de chocolate lista, vuélcala sobre el dulce de leche y repártela de forma pareja.', '9 Cuando el chocolate se haya repartido, puedes decorar tu tarta de chocolate y dulce de leche con unos copos de dulce o chocolate rallado.', '10 Sirve tu tarta de dulce de leche y chocolate y disfruta con tu infusión preferida. ¿Qué te pareció esta receta? Cuéntanos en los comentarios y no dejes de compartir la foto del resultado final, nos encantará verla.']",1h 30m,['Recetas al horno']
alfajores de chocolate,"['300 gramos de harina 0000', '1 cucharada postre de polvo para hornear', '¼ cucharada postre de bicarbonato de sodio', '1 pizca de sal', '40 gramos de azúcar', '150 gramos de manteca', '1 huevo', '1 cucharada postre de esencia de vainilla', 'ralladrua de naranja', '1 cucharada sopera de miel', '400 dulce de leche repostero', '100 gramos de chocolate cobetura']","['1 Debes tener listos todos los ingredientes, sobre todo, el huevo y la manteca para que ambos estén a temperatura ambiente.', '2 Primero, crema el azúcar con la manteca hasta obtener una consistencia lisa, donde no se sientan los cristales de azúcar. Luego, añade el huevo a temperatura ambiente, la miel, la esencia de vainilla y la ralladura de naranja. Mezcla hasta emulsionarlos.', '3 Cuando esté lista la preparación, agrega la harina previamente mezclada con el polvo de hornear y bicarbonato de sodio. Hazlo con ayuda de un tamiz o colador fino para evitar grumos.', '4 Integra los ingredientes para formar una masa y estírala entre dos separadores o film para enfriarla en la heladera por unos 20 minutos. Pasado ese tiempo, corta las tapitas de tus alfajores con un cortante de unos 5 centímetros de diámetro.', '5 Dispón las tapitas en una asadera apta para horno enharinada y cocínalas en el horno precalentado a 160 ºC por unos 12 minutos o hasta que la base esté ligeramente dorada.', '6 Cuando tus tapitas estén cocidas, llévalas a una rejilla para que se enfríen.', '7 Rellena las tapitas untando el dulce de leche sobre la parte curva de cada una. De esta forma, la parte recta quedará hacia afuera y el resultado será más prolijo. Recomendamos también emprolijes los bordes, retirando el exceso de dulce de leche con ayuda de una espátula chica o untador.', '8 Cuando tengas todos tus alfajores de chocolate argentinos, llévalos nuevamente a la rejilla, esta vez con un plato o film debajo para recuperar el resto del chocolate. Comienza a bañar de chocolate los alfajores uno por uno, procurando hacer una capa fina y cubriendo los bordes. Recomendamos utilices chocolate especial para cobertura, como en este caso, envasado en un sachet listo para calentar en agua hirviendo, cortar y utilizar. Truco: si buscas alargar la vida útil, como comentábamos al principio de la receta, recomendamos esperes a que se endurezca el chocolate, gires tus alfajores y cubras la base también.', '9 Reserva hasta que se oree el chocolate y disfrútalos. ¡A comer! ¿Qué opinas de esta receta de alfajores cubiertos de chocolate? Cuéntanos en los comentarios tu opinión o comparte con nosotros una fotografía del resultado final.']",1h 30m,['Recetas al horno']
torta cabsha,"['200 gramos de galletas dulces sin relleno', '80 gramos de manteca', '150 gramos de chocolate amargo o semiamargo', '150 gramos de crema de leche', '1 pizca de sal', '350 gramos de dulce de leche repostero', '1 cucharada sopera de licor de naranja, wiski, coñac o alguna bebida para aromatizar']","['1 Para comenzar, precalienta el horno a 180°C. Luego, prepara la base de la torta cabsha triturando las galletitas en una multiprocesadora o licuadora. Coloca el arenado que obtengas en un bol.', '2 Derrite la manteca en microondas o al baño María y viértela sobre las galletas molidas. Mezcla con cuchara o espátula hasta formar una pasta.', '3 Vierte la preparación en un molde desmontable de 15 cm de diámetro y distribuye cubriendo completamente la base y los bordes. Presiona bien para compactar la masa y lleva a horno precalentado a 180°C por 10 o 15 minutos hasta que dore. Retira y deja enfriar. Truco: : también puedes usar un molde de vidrio o cerámica apto para horno, que sirva también como fuente de presentación y no necesites desmoldar.', '4 Coloca el dulce de leche repostero en un bol. Añade el licor o bebida que hayas elegido y mezcla integrando ambos ingredientes.', '5 Vierte el dulce de leche sobre la masa y distribuye de manera uniforme. Reserva en la heladera.', '6 A continuación, prepararemos la ganache de chocolate para la cobertura final de la torta cabsha. Corta el chocolate en trozos en parejos y colócalos en un recipiente.', '7 Pon a calentar la crema de leche y antes que rompa el hervor, retira del fuego. Coloca la pizca de sal, revuelve bien y vuelca sobre el chocolate picado. Espera aproximadamente 1 minuto y bate hasta integrar completamente.', '8 Cubre la torta con la ganache, mientras aún está caliente. Truco: este tipo de cobertura resulta más cremosa y no se quiebra al cortar la torta, como ocurre con el chocolate cobertura cuando se enfría.', '9 Lleva la torta nuevamente a la heladera por al menos 2 horas. Si gustas puedes decorar con copetes de dulce de leche, aunque esta torta es tan deliciosa, que no necesita nada más para conquistarte. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",3h,"['Recomendada para vegetarianos', 'Recetas al horno', 'Recetas argentinas']"
tarantela de manzana,"['150 gramos de azúcar                                                                    (¾ taza)', '1 manzana', '6 rodajas de pan de molde', '2 huevos', '250 centímetros cúbicos de leche', '50 gramos de azúcar                                                                    (¼ taza)', 'ralladura de limón', '1 cucharadita de esencia de vainilla', 'manteca pomada']","['1 Para preparar la tarantela rápida de manzana, comenzaremos realizando el caramelo. Para ello, calienta un poco un recipiente sobre la hornalla. Luego agrega un poco de azúcar y a medida que se vaya disolviendo, continúa agregando el resto. Una vez hecho el caramelo, viértelo con mucho cuidado en una budinera de 20 x 8 x 8 cm y con la ayuda de una espátula o una cuchara, distribúyelo por los lados y la base. Sostén la budinera con un repasador o agarradera porque la budinera se calentará mucho. Deja enfriar. Truco: el punto del caramelo, es a gusto, puedes dejarlo más rubio o más oscuro, pero ten cuidado que no se pase de cocción, para que no tome sabor amargo.', '2 A continuación, enciende el horno para precalentarlo a 160 °C. Luego, retira la corteza del pan y unta cada rodaja con manteca pomada. Reserva', '3 Lava y filetea las manzanas en rodajas de ½ cm. Reserva Truco: si lo prefieres, puedes usar manzanas rojas o mezclar verdes y rojas. Ten en cuenta que no es necesario pelar la manzana, ya que durante la cocción se pondrá muy tierna.', '4 Para preparar la mezcla de flan, bate ligeramente los huevos en un recipiente. Luego agrega la leche, el azúcar, la esencia de vainilla y la ralladura de limón. Vuelve a batir hasta integrar todos los ingredientes. Reserva', '5 Finalmente, para armar la tarantela, coloca una capa de rodajas de manzana en la base del molde, a continuación una capa de rodajas de pan con la manteca hacia abajo y vierte un poco de la preparación de flan.', '6 Repite las capas, teniendo en cuenta que la última capa debe ser de pan. Vierte el resto del flan, presionando un poco para compactar bien y que se embeban todas las capas.', '7 Cubre la budinera con papel aluminio y colócala en una fuente profunda con agua caliente. Con cuidado de no quemarte, lleva a horno precalentado a 160°C por aproximadamente 80 minutos. Truco: para mayor seguridad, puedes colocar el agua caliente en la fuente cuando ya esté en el horno.', '8 Deja enfriar el budín de pan y manzana a temperatura ambiente y luego lleva a heladera como mínimo por 8 h. (puedes hacerlo de un día para el otro). Para desmoldar, despega los bordes con una espátula. Luego coloca agua hirviendo en una fuente y apoya la budinera para despegar el caramelo del fondo. Déjala allí un par de minutos.', '9 Tapa la budinera con la fuente en la que servirás la tarantela de manzana, luego inviértela y escucharás cuando se despegue del fondo. Si no se despegara, repite el paso 9 con el agua hirviendo.', '10 El dorado del caramelo invita a saborear la tarantela de manzana. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",24h,"['Recomendada para vegetarianos', 'Receta sin sal', 'Recetas al horno']"
pasta frola de chocolate,"['1 huevo', '200 gramos de harina 0000', '1 pizca de sal', '5 gramos de polvo para hornear', '60 gramos de azúcar', '1 cucharada postre de esencia de vainilla', 'ralladura de limón', '1 huevo', '60 gramos de harina 0000', '30 gramos de azúcar', '1 cucharada postre de esencia de vainilla', '2 tabletas de chocolate', '500 centímetros cúbicos de leche']","['1 Para empezar con la preparación de la pastafrola de chocolate, crema la manteca pomada con el azúcar, la ralladura de limón y la esencia de vainilla.', '2 A continuación, agrega el huevo a temperatura ambiente y bate a mano hasta que se emulsionen los ingredientes.', '3 Una vez integrados, agrega la harina 0000 con el polvo de hornear, tamizándolos previamente para evitar que se formen grumos.', '4 Integra los ingredientes para formar la masa ayudándote con una espátula para no amasar ni transmitir calor con tus manos. Resérvala en la heladera por 30 minutos a 1 hora, envuelta en film. Truco: estira un poco la masa para que se enfríe más rápido y disponla sobre una asadera para que se mantenga recta.', '5 Mientras, prepara el relleno de tu pastafrola de chocolate. Para ello, mezcla el huevo con la harina.', '6 Por otro lado, calienta la leche con el azúcar.', '7 Cuando la leche esté caliente, agrégala poco a poco a la mezcla de harina con huevo, mientras mezcla para que no se formen grumos.', '8 Lleva la pastelera nuevamente al fuego, esta vez a temperatura media, y revuelve suavemente hasta que espese.', '9 Retira la pastelera del fuego y agrega las dos tabletas de chocolate picado mientras esté bien caliente. Revuelve para integrar y resérvala con un papel separador en contacto para que no se haga una capa dura encima.', '10 Estira un poco más de la mitad de la masa para cubrir la base de la tarta. Reserva la otra parte para luego estirarla y hacer las tiras para el enrejado. Truco: estírala en el mismo film para que no se pegue al palo de amasar y engrasa el molde con manteca. En este caso, es un desmontable de 16 centímetros de diámetro.', '11 Cubre el molde y asegúrate que no queden agujeritos o tu relleno podría escaparse. Puedes emparcharlo con los restos de los bordes.', '12 Rellena tu pastafrola con la pastelera de chocolate fría.', '13 Estira y corta tiras con la masa que habías reservado previamente. Haz el enrejado clásico de la pastafrola.', '14 Cocina tu pastafrola de chocolate en el horno precalentado a 180 ºC durante 30 minutos o hasta que esté ligeramente dorada la masa.', '15 Reserva hasta que tu pastafrola de chocolate esté bien fría antes de desmoldar. Los moldes desmontables son ideales para este tipo de tartas y para facilitar su presentación, ya que, como hemos mencionado, la masa es algo frágil. Puedes decorar con un poco de azúcar impalpable y listo. Disfruta de tu pastafrola de chocolate. ¿Qué te pareció esta receta? Cuéntanos en los comentarios.']",1h 30m,"['Recomendada para vegetarianos', 'Recetas al horno']"
bocaditos de dulce de leche,"['100 gramos de dulce de leche repostero', '100 gramos de avena', 'cacao dulce', 'coco rallado', 'chispas de colores']","['1 Para empezar a preparar los bocaditos de dulce de leche, en un recipiente mezcla la avena con el dulce de leche. Intégralos con una espátula, una cuchara o con tus manos.', '2 Cuando estén integrados, humedece tus manos para tomar una cucharada de la preparación y darle forma de pelotita o trufa. Puedes dejarlas al desnudo o rebozarlas con coco rallado, chispas de colores o cacao dulce. Como verás, es una preparación muy sencilla que puedes hacer con los más chicos de la casa, recuerda que hacer los participar de la cocina es una actividad que fomenta la interacción familiar, la motricidad fina y su interés por su alimentación.', '3 Cuando tengas todos tus bocaditos de dulce de leche listos, llévalos a la heladera por, al menos, 1 hora para que tomen más cuerpo.', '4 Pasado el tiempo, ya podrás disfrutar de tus bocaditos de dulce de leche. ¿Qué te pareció esta preparación? Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",15m,"['Recomendada para vegetarianos', 'Recetas argentinas']"
torta oreo y dulce de leche,"['4 paquetes de galletitas Oreo', '80 gramos de manteca', '400 gramos de dulce de leche repostero', '150 centímetros cúbicos de crema de leche', '1 cucharada postre de esencia de vainilla']","['1 El primer paso para la preparación de la torta de oreo y dulce de leche es abrir las galletitas para separar, por un lado, la crema y, por otro, las tapitas de chocolate. Truco: reserva algunas galletitas para decorar la torta al final de la receta.', '2 Tritura las tapas de las galletitas hasta obtener una consistencia tamaño arena. Luego, mézclalas con la manteca blanda. Truco: si no tienes procesadora, puedes disponer las tapitas en una bolsa y aplastarlas con ayuda de un palo de amasar.', '3 A continuación, lleva las galletitas húmedas mezcladas con la manteca al molde donde desees armar tu torta Oreo y dulce de leche. Con ayuda de una cuchara o tus manos, distribuye de forma pareja las galletitas y haz algo de presión para que se asienten. Truco: recomendamos que el mismo esté cubierto con papel film para facilitar su desmolde. Puedes rociar el molde con aceite en aerosol o manteca para que el film se adhiera mejor a él.', '4 Tapa la masa de tu torta y llévala a la heladera mínimo 2 horas. De esta forma, tomará cuerpo y podrás rellenarla sin que se desarme. Truco: si lo deseas, podrías cocinar unos 10 minutos la masa de tu torta en un horno precalentado a 180 ºC y solo dejarla enfriar antes de continuar con el siguiente paso. Asegúrate de no usar film en este caso.', '5 Una vez que la masa de tu torta esté fría, rellénala con el dulce de leche. Recomendamos agregues una parte como base y luego, decores con ayuda de una manga los bordes. Llévala al frío nuevamente.', '6 Por último, bate la crema de leche fría hasta que monte. En punto, agrega el relleno de las galletitas oreos que habías reservado en el primer paso. Bate solo para integrarlas o se cortará.', '7 Retira la torta de la heladera y desmóldala para disponerla en el plato donde quieras presentarla. Decora a gusto con unas galletitas rotas y otras partidas a la mitad. Recomendamos que la enfríes bien antes de servirla.', '8 Así tendrás lista tu torta Oreo con dulce de leche. ¿Qué te ha parecido esta receta? Cuéntanos en los comentarios tu opinión.']",2h 30m,"['Recomendada para vegetarianos', 'Receta sin lactosa']"
alfajores santiaguenos,"['2 huevos', '300 gramos de harina', '120 centímetros cúbicos de agua', '50 centímetros cúbicos de aceite', '1 cucharada postre de anís o 1 estrella', '300 gramos de dulce de leche repostero', '1 pizca de sal', '1 cucharada postre de alcohol etílico', '120 gramos de azúcar']","['1 Para empezar con la preparación del alfajor santiagueño, mezcla la harina con la pizca de sal y llévala a una mesada limpia. Haz un hueco en el centro para agregar allí las yemas de los huevos, el aceite, casi toda el agua y las semillas de anís. Si no tienes semillas, puedes infusionar el agua con una estrella. Reserva las claras para hacer el merengue más adelante.', '2 Comienza a integrar los ingredientes del centro hacia afuera, para formar una masa. De ser necesario, agrega el resto del agua, humedeciendo tus manos antes de seguir amasando. De esta forma, agregarás la humedad de forma progresiva.', '3 Divide la masa en 6 bollos de igual tamaño y déjala descansar tapada por unos 20 minutos. De esta forma, será más fácil estirarla.', '4 Pasado ese tiempo, enciende el horno a 180 ºC y comienza a estirar los bollos. Lleva cada disco a una asadera, la cual no necesita estar engrasada, y pínchalo con un tenedor para que no se englobe demasiado en el horno.', '5 Cocina cada disco de tu alfajor santiagueño por unos 10 a 12 minutos, girándolo cuando se dore de uno de los lados. Resérvalos en una rejilla para que se enfríen sin humedecerse.', '6 Acomoda los discos de tu alfajor santiagueño de forma tal que queden bien encastrados entre sí. Cuando hayas armado esta pila, unta cada disco con dulce de leche repostero, dejando la última capa sin untar. Resérvalo', '7 Por otro lado, prepara el merengue para tu alfajor santiagueño. Para ello, debes calentar a fuego medio el azúcar con suficiente agua como para que apenas la tape. Agrega cucharadas de a poco en la misma hornalla para que no tengas que moverlo y tocar con el azúcar los bordes de la olla o podría caramelizarse. El almíbar debe alcanzar los 118 ºC.', '8 Comienza a batir las claras que habías reservado anteriormente apenas pones el azúcar a calentar con el agua.', '9 Cuando tengas el almíbar listo, agrégalo a las claras en forma de hilo y sobre el borde del recipiente mientras continúas batiendo', '10 Deberás batir hasta que el merengue esté frío, sostenido y brillante, como ves en la imagen', '11 Cubre tu alfajor santiagueño con el merengue italiano y llévalo a la heladera para que esté más contenido a la hora de servir.', '12 Puedes decorar tu alfajor con picos o cubriéndolo por completo, como haz visto en la imagen principal de esta receta. Cuéntanos qué opinas de este alfajor y, si lo pruebas, no dudes compartir la foto del resultado final, ¡nos encantaría verla!']",1h 30m,"['Recomendada para vegetarianos', 'Receta sin lactosa', 'Recetas al horno', 'Recetas argentinas']"
galletitas de maicena sin manteca,"['1 huevo', '¼ limón (su ralladura)', '½ cucharadita de esencia de vainilla', '75 gramos de maicena', '60 gramos de harina 0000', '1 pizca de sal', '1 cucharada postre de polvo para hornear', '2 cucharadas soperas de azúcar', '3 cucharadas soperas de aceite neutro', '150 gramos de dulce de leche repostero', '3 cucharadas soperas de coco rallado']","['1 Para empezar con la preparación de las galletitas de maicena sin manteca o alfajores de maicena sin manteca, primero bate el huevo con el aceite y los ingredientes que elijas para aromatizarlos. Recomendamos esencia de vainilla y ralladura de limón, pero también podrías utilizar esencia de coco o ralladura de naranja.', '2 Cuando los ingredientes estén integrados, agrega el azúcar y remueve hasta no sentir sus cristales. Si lo deseas, podrías reemplazar el azúcar por unos 4 o 5 sobres de edulcorante apto cocción o azúcar mascabo. En el caso del edulcorante, es la opción ideal para quienes tienen diabetes, para reducir el índice glucémico de esta preparación. También puedes buscar en nuestra web la receta de alfajores de maicena con harina integral.', '3 A continuación, agrega el resto de los ingredientes de esta receta, es decir, la harina 0000, la maicena, el polvo de hornear y la pizca de sal. Hazlo con ayuda de un tamiz o colador fino con el fin de evitar que se formen grumos en tu preparación. Intégralos con una espátula o cornet, sin amasar.', '4 Lleva tu masita de maicena a una mesada para estirarla. Recomendamos que lo hagas entre dos separadores para que no se pegue al palo ni a la mesada. También podrías utilizar papel film.', '5 Corta las tapitas para tus alfajores de maicena con un cortante de galletitas o una tapita de frasco y llévalas a una asadera previamente engrasada. Vuelve a unir tu masa, sin amasar, para estirarla y cortarla hasta utilizarla toda.', '6 Cocina tus tapitas en un horno precalentado a 180 ºC durante unos 7-8 minutos hasta que hayan leudado y estén ligeramente doradas debajo.', '7 Cuando estén frías, unta una tapita con el dulce de leche y tápala con otra para formar tu alfajor. Empareja los bordes para que en todos queden dulce de leche y puedas cubrirlos con el coco rallado a continuación.', '8 Gira los alfajores en un cuenco con el coco rallado para que se pegue en el dulce de leche.', '9 Sirve tus alfajores o galletitas de maicena sin manteca y ¡a comer! ¿Qué te ha parecido esta receta? Cuéntanos en los comentarios.']",30m,"['Recomendada para vegetarianos', 'Recetas al horno', 'Recetas argentinas']"
alfajores de maicena facil con harina leudante,"['1 huevo', '½ cucharadita de esencia de vainilla', '75 gramos de maicena', '60 gramos de harina leudante', '2 cucharadas soperas de azúcar', '3 cucharadas soperas de aceite neutro', '150 gramos de dulce de leche repostero']","['1 Para empezar con la receta de los alfajores de maicena fáciles con harina leudante, primero mezcla el huevo con el aceite, el azúcar y la esencia de vainilla. Debes mezclar hasta no sentir los cristales de azúcar y que se emulsione el aceite con el huevo. Truco: además de aromatizar tus alfajores con la esencia de vainilla, puedes utilizar ralladura de limón o naranja.', '2 Agrega el resto de los ingredientes de esta receta, es decir, la harina leudante y la maicena. Hazlo con ayuda de un tamiz o colador fino con el fin de evitar que se formen grumos en tu preparación. Intégralos con una espátula o cornet sin amasar, por el contrario, tus alfajores quedarán duros.', '3 Dispón la masa de tus alfajores de maicena con harina leudante entre dos separadores u hojas de papel film para llevar a una mesada y estirarla sin la preocupación de que se pegue en la mesada o en el palote.', '4 Estira la masa de aproximadamente medio centímetro de alto o menos, siendo que luego van a leudar gracias a la harina leudante. Corta las tapitas y vuelve a unir tu masa, sin amasar, para estirarla y cortarla hasta utilizarla toda.', '5 Dispón las tapitas en una asadera previamente engrasada para cocinar tus tapitas en un horno precalentado a 180 ºC durante unos 7 a 8 minutos, hasta que hayan leudado y estén apenas doradas debajo.', '6 Una vez frías, rellena los alfajores con el dulce de leche y empareja los bordes con ayuda de un untador para que no queden huecos y puedas cubrirlos con el coco rallado.', '7 Dispón el coco rallado en un cuenco para girar los alfajores en él y hacer que se pegue en el dulce de leche.', '8 ¡Y listo, a comer! ¿Qué te ha parecido esta receta? Mucho más fácil que la original, ¿no? Cuéntanos en los comentarios.']",30m,"['Recomendada para vegetarianos', 'Recetas al horno', 'Recetas argentinas']"
tarta de ricota y limon,"['100 gramos de manteca', '70 gramos de azúcar', '2 yemas de huevos', '½ cucharadita de esencia de vainilla', 'ralladura de limón', '200 gramos de harina 0000', '1 cucharada postre de polvo para hornear', '1 pizca de sal', '200 gramos de ricota', '50 gramos de crema de leche', '70 gramos de azúcar', '2 claras de huevo', '½ cucharadita de esencia de vainilla', 'ralladura de 1 limón', 'jugo de 1 limón']","['1 Para empezar con la receta de tarta de ricota y limón, primero coloca la manteca pomada junto con el azúcar, la esencia de vainilla y la ralladura de limón en el bol de la batidora. Bate hasta cremar la preparación.', '2 Incorpora las yemas de los huevos y reserva las claras en otro recipiente. Bate 1 minuto más.', '3 Por último, tamiza la harina y agrégala a la preparación anterior junto con el polvo para hornear y la pizca de sal. Une los ingredientes con espátula, sin amasar para no formar gluten.', '4 Se formará un arenado que debes volcar entre dos papeles film. Primero, aplasta un poco con la mano y, luego, estira con palo de amasar hasta unos 4 mm de espesor. A continuación, coloca la masa de torta de ricota fácil sobre una placa y enfríala en heladera mínimo 1 hora.', '5 Cuando la masa se haya enfriado, precalienta el horno a 170 °C y forra un molde desmontable de 15 cm de diámetro de la siguiente manera. Primero, corta un círculo de la medida de la base y coloca en el molde.', '6 Con el excedente de masa corta tiras para cubrir los bordes.', '7 Coloca los bordes en el molde y únelos en la base ayudándote con los dedos.', '8 Revisa que el molde quede completamente cubierto y no queden espacios por donde pueda filtrarse el relleno. A continuación, reserva en la heladera mientras preparas el relleno.', '9 Coloca en un bol la ricota junto con la crema y el azúcar. Bate con batidor de mano.', '10 A continuación, agrega la esencia de vainilla, la ralladura y el jugo de limón. Vuelve a batir para integrar.', '11 Finalmente, agrega las claras y bate suavemente hasta unificar la preparación.', '12 Vierte el relleno en el molde forrado y hornea a 170 °C durante 40 y 50 minutos o hasta que el relleno esté cocido y la superficie se haya dorado un poco.', '13 Cuando esté cocida la tarta de ricota y limón, retira del horno y deja templar a temperatura ambiente. Luego, llévalo a la heladera como mínimo 2 horas antes de desmoldar.', '14 Desmolda y decora la tarta de ricota y limón o si ya no puedes esperar a probarla, simplemente corta una porción y ¡a comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",4h,"['Recomendada para vegetarianos', 'Receta sin sal', 'Recetas al horno']"
